FECHA_DE_CORTE,FECHA_DE_MUESTRA,UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,ESPECIE_GANADERA,NUMERO_ANIMALES_MACHOS,CANTIDAD_KILOGRAMOS_CARNE_MACHOS,NUMERO_ANIMALES_HEMBRAS,CANTIDAD_KILOGRAMOS_CARNE_HEMBRAS,,
20240131,20240203,200101,PIURA,PIURA,PIURA,VACUNO,460,96,600,150,30,750,,
20240131,20240203,200110,PIURA,PIURA,LA UNION,VACUNO,150,35,700,20,4,100,,
20240131,20240203,200105,PIURA,PIURA,CATACAOS,VACUNO,850,178,500,305,62,525,,
20240131,20240203,200109,PIURA,PIURA,LA ARENA,VACUNO,,,,,,
20240131,20240203,200114,PIURA,PIURA,TAMBOGRANDE,VACUNO,31,6,515,67,11,925,,
20240131,20240203,200109,PIURA,PIURA,LAS LOMAS,VACUNO,10,1,800,15,2,250,,
20240131,20240203,200801,PIURA,SECHURA,SECHURA,VACUNO,,,,,,
20240131,20240203,200405,PIURA,MORROPON,MORROPON,VACUNO,35,7,000,30,3,000,,
20240131,20240203,200401,PIURA,MORROPON,CHULUCANAS,VACUNO,196,41,160,55,12,100,,
20240131,20240203,200404,PIURA,MORROPON,LA MATANZA,VACUNO,120,25,200,20,4,600,,
20240131,20240203,200409,PIURA,MORROPON,SANTO DOMINGO,VACUNO,4,1000,,,,
20240131,20240203,200402,PIURA,MORROPON,BUENOS AIRES,VACUNO,6,1200,6,600,,
20240131,20240203,200406,PIURA,MORROPON,SALITRAL,VACUNO,7,1,330,0,0,,
20240131,20240203,200407,PIURA,MORROPON,SAN JUAN DE BIGOTE,VACUNO,8,1,600,1,210,,
20240131,20240203,200408,PIURA,MORROPON,SANTA CATALINA DE MOSSA,VACUNO,2,330,2,330,,
20240131,20240203,200403,PIURA,MORROPON,CHALACO,VACUNO,5,1,250,5,1250,,      
20240131,20240203,200410,PIURA,MORROPON,YAMANGO,VACUNO,4,800,4,400,,
